accept,1
accepted,1
achieved,2
achievement,2
achieves,2
acquire,2
agreement,3
agrees,1
approval,2
awarded,3
awards,3
beneficial,2
benefit,2
billion,1
billionaire,3
breakout,2
cancer,3
completes,2
contract,2
demonstrated, 3
demonstrates, 3
drug trials,3
endpoint,4
end point,4
endpoints,4
end points,4
excellent,4
extremely happy,4
extremely pleased,3
fast track,2
fda,2
fda approval,4
gain,3
glad,1
grants,1
happy,4
improvement,2
increase,2
investors,1
launches,2
leading,2
meaningful,2
merger,1
million,1
new,1
outperform,3
partnership,3
phase 1,2
phase 2,3
phase 3,4
phase i,2
phase ii,3
phase iii,4
pleased,3
pleased to announce,4
positive,3
primary,2
promising,2
quite happy,4
quite pleased,3
receives,2
signs,1
significant,3
signifigant,3
substantial,3
successful,2
successfully,2
upgrade,2
very happy,4
very pleased,3
